body_a,body_b,date,jd_ut,separation_deg,ecliptic_longitude_deg,solar_elongation_deg,event_class
Mercury,Venus,1419-05-01 21:11 UT (Julian),2239468.3826388754,0.00011811343543399744,24.06988158557521,25.010000770731637,close_conjunction
Mercury,Jupiter,1419-05-19 08:02 UT (Julian),2239485.8347222055,0.00015431641966756615,52.2487754002888,13.567444265506737,close_conjunction
Mercury,Mars,1419-06-16 06:58 UT (Julian),2239513.790277762,0.00029319681232209405,110.01705765179162,17.525601758287053,close_conjunction
Venus,Jupiter,1419-07-01 13:48 UT (Julian),2239529.0749999834,6.154296826821337e-05,61.64233977873112,45.42328151055406,close_conjunction
Mercury,Mars,1419-08-03 15:49 UT (Julian),2239562.1590277636,0.0002417907530229968,140.77724581300245,2.027916788531428,close_conjunction
Mars,Saturn,1419-08-30 04:47 UT (Julian),2239588.699305541,0.00011062003798656406,157.69863335157248,6.765805937308301,close_conjunction
Mercury,Saturn,1419-09-03 20:02 UT (Julian),2239593.3347222055,7.15933364006105e-05,158.27625573781853,10.714369433541123,close_conjunction
Mercury,Mars,1419-09-05 19:55 UT (Julian),2239595.3298610947,1.0333348313906754e-05,161.94185017502534,9.000341762302497,close_conjunction
Venus,Saturn,1419-09-26 17:20 UT (Julian),2239616.222222207,0.00011651189151962171,161.02243055719208,30.50187013909118,close_conjunction
Venus,Mars,1419-10-21 06:07 UT (Julian),2239640.7548610955,0.00012895808512780604,191.28966435643343,24.71374771399752,close_conjunction
Mercury,Venus,1419-11-29 02:11 UT (Julian),2239679.5909722056,0.00011217738835966884,239.89727611693593,15.419943204986964,close_conjunction
Mercury,Venus,1420-01-23 08:19 UT (Julian),2239734.846527761,5.5417070655039424e-05,309.32097546992236,2.238851225250869,close_conjunction
Mercury,Venus,1420-03-04 23:32 UT (Julian),2239776.4805555404,0.0005748616994196709,1.308222047709011,8.00712329789917,close_conjunction
Venus,Jupiter,1420-05-04 10:58 UT (Julian),2239836.95694443,0.00016152052313600507,75.66917285806986,23.392459099588677,close_conjunction
Mercury,Jupiter,1420-05-22 18:58 UT (Julian),2239855.290277762,0.00032383460009555165,79.77154277382903,9.927123916403218,close_conjunction
Venus,Saturn,1420-07-17 20:13 UT (Julian),2239911.3423610944,3.432861691976541e-05,164.03427398651792,40.70235982376852,close_conjunction
Mercury,Saturn,1420-08-31 21:39 UT (Julian),2239956.4020833196,0.0004857710723058517,169.30512850913715,2.442828851358172,close_conjunction
Mercury,Venus,1420-11-29 06:32 UT (Julian),2240045.7722222065,5.02478978887666e-05,236.59734810140517,19.66880086763834,close_conjunction
Mars,Jupiter,1421-05-18 10:26 UT (Julian),2240215.934722208,2.958281214660019e-05,104.66900105192305,39.21925359337831,close_conjunction
Mercury,Jupiter,1421-06-11 19:06 UT (Julian),2240240.295833317,0.13747729310699697,109.61245331417835,20.90955479281328,close_conjunction
Mercury,Venus,1421-07-08 17:19 UT (Julian),2240267.2215277627,0.00018823271449264212,99.7024815843881,14.677127620603358,close_conjunction
Venus,Jupiter,1421-07-24 11:54 UT (Julian),2240282.995833318,2.01968133524133e-05,119.06496284669902,10.409471766222623,close_conjunction
Mercury,Jupiter,1421-07-29 06:10 UT (Julian),2240287.756944429,0.00025018855762937164,120.10660058670818,13.940837166190533,close_conjunction
Mercury,Venus,1421-08-05 03:15 UT (Julian),2240294.635416653,0.0001894877992469901,133.42831189203622,7.240172484204095,close_conjunction
Mercury,Mars,1421-08-21 03:32 UT (Julian),2240310.6472222083,0.00013433562443765368,164.16843007257813,8.016512349955377,close_conjunction
Mercury,Saturn,1421-08-30 14:46 UT (Julian),2240320.1152777607,0.0003538646394360967,180.18106674725743,14.810092237448117,close_conjunction
Venus,Mars,1421-09-08 08:56 UT (Julian),2240328.872222205,0.00011971675377253632,175.96398304723562,2.025422440468475,close_conjunction
Venus,Saturn,1421-09-13 01:32 UT (Julian),2240333.5638888725,0.00019743615624179256,181.81622836741843,3.2719029164196343,close_conjunction
Mars,Saturn,1421-09-18 07:22 UT (Julian),2240338.806944428,7.13977705686375e-05,182.45912778332007,1.2478896932520342,close_conjunction
Mercury,Venus,1421-10-14 18:07 UT (Julian),2240365.2548610955,0.00011191643059760281,221.4231973381349,11.42828995333187,close_conjunction
Mercury,Mars,1421-10-27 04:17 UT (Julian),2240377.678472208,0.00017465328556909299,208.3924509545031,14.08174354984979,close_conjunction
Mercury,Mars,1421-11-10 14:51 UT (Julian),2240392.1187499827,8.02578658181119e-05,218.25141405087177,18.813321755965774,close_conjunction
